timestamp,p,T,Tpot,rh,VPact,sh,H2OC,rho,wv,wd,rain,raining
01/01/20 0:10,1008.89,0.71,273.18,86.1,5.54,3.42,5.49,1280.62,1.02,224.3,0,0
01/01/20 0:20,1008.76,0.75,273.22,85.2,5.49,3.39,5.45,1280.33,0.43,206.8,0,0
01/01/20 0:30,1008.66,0.73,273.21,85.1,5.48,3.39,5.43,1280.29,0.61,197.1,0,0
01/01/20 0:40,1008.64,0.37,272.86,86.3,5.41,3.35,5.37,1281.97,1.11,206.4,0,0
01/01/20 0:50,1008.61,0.33,272.82,87.4,5.47,3.38,5.42,1282.08,0.49,209.6,0,0
01/01/20 1:00,1008.44,0.34,272.84,87.1,5.45,3.37,5.41,1281.84,0.63,188,0,0
01/01/20 1:10,1008.49,0.19,272.69,87.4,5.41,3.34,5.37,1282.63,0.88,195.4,0,0
01/01/20 1:20,1008.4,0.03,272.53,88.1,5.39,3.33,5.35,1283.3,1.05,183.1,0,0
01/01/20 1:30,1008.29,0.11,272.63,88.1,5.43,3.35,5.38,1282.73,0.9,199.9,0,0
01/01/20 1:40,1008.28,0.22,272.73,87.4,5.42,3.35,5.38,1282.24,0.62,123.9,0,0
01/01/20 1:50,1008.24,-0.04,272.48,87.5,5.33,3.29,5.29,1283.42,0.61,176.5,0,0
01/01/20 2:00,1008.32,-0.21,272.3,89.1,5.36,3.31,5.31,1284.32,0.5,154,0,0
01/01/20 2:10,1008.24,-0.1,272.42,88.6,5.37,3.32,5.33,1283.67,0.48,105.5,0,0
01/01/20 2:20,1008.35,-0.16,272.35,88.1,5.32,3.29,5.27,1284.15,0.57,65.58,0,0
01/01/20 2:30,1008.3,-0.22,272.3,88.9,5.34,3.3,5.3,1284.34,0.28,356.1,0,0
01/01/20 2:40,1008.4,-0.06,272.45,88.2,5.36,3.32,5.32,1283.71,0.81,143.7,0,0
01/01/20 2:50,1008.39,-0.17,272.34,88.6,5.35,3.3,5.3,1284.22,0.42,191.3,0,0
01/01/20 3:00,1008.46,-0.05,272.45,88.5,5.39,3.33,5.34,1283.73,0.46,46.51,0,0
01/01/20 3:10,1008.15,-0.21,272.31,88.7,5.33,3.3,5.29,1284.13,0.32,199.6,0,0
01/01/20 3:20,1008.07,-0.77,271.77,89.2,5.15,3.18,5.11,1286.71,1.6,214.2,0,0
01/01/20 3:30,1008.12,-0.93,271.61,90.6,5.17,3.2,5.13,1287.52,1.2,222.5,0,0
01/01/20 3:40,1008.04,-0.86,271.68,90.8,5.21,3.22,5.17,1287.1,1.08,220.3,0,0
01/01/20 3:50,1008.16,-0.87,271.66,90.9,5.21,3.22,5.17,1287.28,0.79,211.1,0,0
01/01/20 4:00,1008,-1.02,271.52,90.9,5.15,3.19,5.11,1287.83,1.83,218.1,0,0
01/01/20 4:10,1007.76,-1.15,271.41,91.4,5.13,3.17,5.09,1288.16,1.16,237.3,0,0
01/01/20 4:20,1007.84,-1.08,271.47,91.7,5.17,3.2,5.13,1287.9,0.47,28.8,0,0
01/01/20 4:30,1007.85,-1.59,270.96,90.5,4.92,3.04,4.88,1290.46,0.81,165.7,0,0
01/01/20 4:40,1008.02,-1.82,270.72,92.1,4.92,3.04,4.88,1291.74,0.73,144.8,0,0
01/01/20 4:50,1007.92,-1.84,270.71,92.4,4.93,3.05,4.89,1291.74,1.05,203.9,0,0
01/01/20 5:00,1007.63,-1.84,270.73,93.2,4.97,3.08,4.94,1291.32,1.53,226.9,0,0
01/01/20 5:10,1007.63,-2.14,270.44,92.3,4.82,2.98,4.78,1292.81,1.18,186.6,0,0
01/01/20 5:20,1007.9,-2.34,270.21,93.4,4.8,2.97,4.76,1294.16,0.41,86.3,0,0
01/01/20 5:30,1007.99,-2.2,270.35,93.8,4.87,3.01,4.84,1293.54,1.09,154.5,0,0
01/01/20 5:40,1007.85,-2.3,270.25,93.7,4.83,2.99,4.79,1293.9,1.11,199.7,0,0
01/01/20 5:50,1007.81,-2.4,270.16,94.1,4.82,2.98,4.78,1294.29,0.47,216.9,0,0
01/01/20 6:00,1007.81,-2.51,270.05,94,4.77,2.95,4.74,1294.85,0.85,177.9,0,0
01/01/20 6:10,1007.91,-2.83,269.72,94.1,4.66,2.88,4.63,1296.56,1.36,199.1,0,0
01/01/20 6:20,1008.06,-2.79,269.75,94.6,4.7,2.91,4.66,1296.56,1,154.2,0,0
01/01/20 6:30,1008.22,-2.74,269.79,94.8,4.73,2.92,4.69,1296.51,0.62,143,0,0
01/01/20 6:40,1008.19,-2.63,269.9,95,4.78,2.95,4.74,1295.89,0.46,199.8,0,0
01/01/20 6:50,1008.21,-2.5,270.02,95,4.82,2.98,4.79,1295.31,0.41,211.3,0,0
01/01/20 7:00,1008.17,-2.26,270.27,95,4.91,3.04,4.87,1294.04,0.95,218.2,0,0
01/01/20 7:10,1008.16,-2.31,270.23,94.3,4.86,3,4.82,1294.28,1.24,209.8,0,0
01/01/20 7:20,1008.17,-2.53,270,93.8,4.75,2.94,4.72,1295.42,1,188.1,0,0
01/01/20 7:30,1008.13,-2.68,269.86,94.1,4.72,2.92,4.68,1296.1,0.72,172.8,0,0
01/01/20 7:40,1008.25,-2.73,269.79,94.2,4.7,2.91,4.66,1296.52,0.47,163.5,0,0
01/01/20 7:50,1008.17,-2.79,269.74,94.3,4.69,2.9,4.65,1296.7,0.89,135.1,0,0
01/01/20 8:00,1008.16,-2.84,269.69,94.5,4.68,2.89,4.64,1296.95,1.37,131,0,0
01/01/20 8:10,1008.12,-2.89,269.64,94.5,4.66,2.88,4.62,1297.14,1,168.3,0,0
01/01/20 8:20,1008.12,-3.02,269.51,94.4,4.61,2.85,4.57,1297.79,0.36,189.8,0,0
01/01/20 8:30,1008.12,-2.84,269.7,94.7,4.69,2.9,4.65,1296.86,0.21,161.9,0,0
01/01/20 8:40,1008.04,-2.91,269.63,93.9,4.63,2.86,4.59,1297.15,0.7,196.1,0,0
01/01/20 8:50,1007.96,-3.11,269.44,93.6,4.54,2.81,4.51,1298.02,1.13,204.2,0,0
01/01/20 9:00,1008.07,-3.08,269.46,94,4.57,2.83,4.54,1298.02,1.02,189.6,0,0
01/01/20 9:10,1008.17,-3.03,269.5,93.8,4.58,2.83,4.54,1297.93,0.99,154.4,0,0
01/01/20 9:20,1008.28,-2.95,269.58,93.4,4.59,2.84,4.55,1297.64,0.91,157.7,0,0
01/01/20 9:30,1008.2,-3.01,269.52,92.9,4.54,2.81,4.51,1297.85,0.89,170.3,0,0
01/01/20 9:40,1008.31,-2.84,269.69,92.4,4.58,2.83,4.54,1297.15,0.63,49.94,0,0
01/01/20 9:50,1008.41,-2.67,269.84,92.5,4.64,2.87,4.6,1296.47,0.56,73.3,0,0
01/01/20 10:00,1008.45,-1.93,270.58,91.1,4.83,2.98,4.79,1292.89,0.29,124,0,0
